Unnamed: 0,City,Lat,Lon,Temp_C,Feels_like,Temp_min_C,Temp_max_C,Humidity,Wind_speed_mph,Clouds,Country,Time_zone,Hotel
265,ust-nera,64.57,143.2,26.69,25.48,26.69,26.69,33,1.44,1,RU,36000,Hotel Ust-Nera
154,ust-omchug,61.15,149.63,17.64,15.95,17.64,17.64,54,1.83,8,RU,39600,missing value
312,ust-tsilma,65.44,52.15,15.94,13.99,15.94,15.94,61,2.27,68,RU,10800,U Praskov'i
367,uyuni,-20.46,-66.83,8.76,-0.75,8.76,8.76,31,9.52,0,BO,-14400,Hostal La Magia de Uyuni
565,valreas,44.38,4.99,24.23,21.64,23.33,26.0,36,3.1,0,FR,7200,Maison d'Anvers
119,vestmannaeyjar,63.44,-20.27,11.38,8.92,11.38,11.38,72,2.36,22,IS,0,Glamping & Camping
386,vila,42.03,-8.16,20.2,20.38,19.44,21.11,77,2.6,0,PT,3600,Hotel Castrum Villae
72,vila do maio,15.13,-23.22,27.0,27.69,27.0,27.0,74,5.7,75,CV,-3600,Residence 'I Delfini'
472,vila franca do campo,37.72,-25.43,21.0,21.16,21.0,21.0,73,2.6,40,PT,0,Pestana Bahia Praia
406,ville-marie,47.33,-79.43,28.0,25.73,28.0,28.0,37,4.1,40,CA,-14400,La Bannik
476,vredendal,-31.67,18.5,18.07,13.7,18.07,18.07,28,3.26,0,ZA,7200,Tharrakamma Guest House
566,wagar,16.15,36.2,32.52,29.77,32.52,32.52,38,6.95,100,SD,7200,missing value
263,waingapu,-9.66,120.26,20.76,20.37,20.76,20.76,79,3.94,16,ID,28800,Pondok Wisata Elim
465,weilburg,50.48,8.25,18.76,18.54,17.22,22.22,68,1.52,6,DE,7200,Schlosshotel Weilburg
550,whitehorse,60.72,-135.05,17.92,14.57,17.78,18.0,52,4.1,75,CA,-25200,Westmark Hotel
595,xai-xai,-25.05,33.64,17.98,17.41,17.98,17.98,80,2.85,32,MZ,7200,Platinum Hotel
147,yakovlevo,50.86,36.45,17.0,15.36,17.0,17.0,59,2.0,0,RU,10800,Motel Elena
17,yellowknife,62.46,-114.35,14.35,11.57,13.89,15.0,76,4.1,90,CA,-21600,The Explorer Hotel
522,yeysk,46.7,38.28,23.13,19.55,23.13,23.13,56,6.85,49,RU,10800,Pridorozhnaya Guest House
374,yulara,-25.24,130.99,5.0,-0.06,5.0,5.0,75,4.6,0,AU,34200,Desert Gardens Hotel - Ayers Rock Resort
383,yumen,40.28,97.2,19.61,15.31,19.61,19.61,42,4.93,0,CN,28800,missing value
42,yuzhnyy,53.25,83.69,19.0,16.76,19.0,19.0,63,4.0,100,RU,25200,Golden Horseshoe
620,zabol,32.25,67.25,20.5,19.16,20.5,20.5,63,3.35,0,AF,16200,missing value
305,zacualtipan,20.65,-98.6,23.37,23.73,23.37,23.37,69,3.09,22,MX,-18000,hacienda venta de guadalupe
91,zelenoborsk,61.47,64.03,11.53,8.99,11.53,11.53,68,2.26,99,RU,18000,missing value
424,zhigansk,66.77,123.37,17.79,15.55,17.79,17.79,71,4.29,61,RU,32400,Gostinichnyy Kompleks Aylgy
