,City,Lat,Lon,Temp_C,Feels_like,Temp_min_C,Temp_max_C,Humidity,Wind_speed_mph,Clouds,Country,Time_zone
289,karratha,-20.74,116.85,32.16,28.65,32.16,32.16,21,4.04,0,AU,28800
290,ambikapur,23.12,83.2,28.05,29.36,28.05,28.05,76,5.95,100,IN,19800
291,igbo ora,7.43,3.28,21.97,25.25,21.97,21.97,92,1.02,92,NG,3600
292,jalu,29.03,21.55,28.73,29.03,28.73,28.73,42,1.64,0,LY,7200
293,fortuna,40.6,-124.16,13.07,13.2,12.78,13.33,93,0.69,90,US,-25200
295,bima,-8.47,118.72,32.06,30.51,32.06,32.06,36,4.57,0,ID,28800
296,bonthe,7.53,-12.51,24.41,27.11,24.41,24.41,88,3.08,100,SL,0
297,anadyr,64.75,177.48,10.75,10.01,10.56,11.0,93,1.0,40,RU,43200
298,hambantota,6.12,81.12,31.0,34.71,31.0,31.0,74,4.6,40,LK,19800
299,krasnyy yar,46.53,48.35,25.86,21.79,25.0,26.67,44,7.0,0,RU,14400
300,northam,51.03,-4.22,15.19,13.44,15.0,15.56,89,4.02,96,GB,3600
301,banjar,-8.19,114.97,29.0,27.36,29.0,29.0,70,9.8,20,ID,28800
302,chuy,-33.7,-53.46,15.09,12.71,15.09,15.09,86,4.63,100,UY,-10800
303,henties bay,-22.12,14.28,13.33,12.28,13.33,13.33,84,1.83,26,NA,7200
304,thaba-tseka,-29.52,28.61,11.74,9.0,11.74,11.74,38,0.67,96,LS,7200
305,east london,-33.02,27.91,15.0,12.38,15.0,15.0,82,4.6,30,ZA,7200
306,namatanai,-3.67,152.43,28.33,31.04,28.33,28.33,77,4.35,100,PG,36000
307,carnarvon,-24.87,113.63,23.0,17.02,23.0,23.0,49,9.3,55,AU,28800
309,alta floresta,-9.88,-56.09,21.47,23.65,21.47,21.47,82,1.04,5,BR,-14400
310,kijang,35.24,129.21,31.0,29.89,31.0,31.0,66,9.8,75,KR,32400
